Date : 2022-12-05 22:48:54
Directory : c:\xampp\htdocs\B6Cinemas
Total : 140 files,  9942 codes, 3677 comments, 1609 blanks, all 15228 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\B6Cinemas\B6Website\search.js                                     | JavaScript |         19 |          7 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\addAdmin.html                | HTML       |         58 |          0 |          4 |         62 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\addMovie.php                 | PHP        |         89 |          0 |          6 |         95 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\addPromoStyle.css            | CSS        |         77 |          0 |         12 |         89 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\addPromotion.html            | HTML       |         64 |          2 |          6 |         72 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\adminIndex.html              | HTML       |         45 |          0 |          5 |         50 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\editCustomer.html            | HTML       |         60 |          0 |          4 |         64 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\editMovie.html               | HTML       |         79 |          0 |          4 |         83 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\manageAccStyle.css           | CSS        |         98 |          0 |         19 |        117 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\manageAccounts.html          | HTML       |        101 |          0 |          4 |        105 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\manageMovies.html            | HTML       |         47 |          0 |          4 |         51 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\manageMovies.php             | PHP        |         75 |          1 |         15 |         91 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\manageMoviesStyle.css        | CSS        |         83 |          0 |         16 |         99 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\managePromoStyle.css         | CSS        |         91 |          0 |         15 |        106 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\managePromotions.php         | PHP        |         87 |          0 |          8 |         95 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\showtime.css                 | CSS        |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\adminPortal\showtime.php                 | PHP        |        113 |          1 |         15 |        129 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\buyTickFlow\selectSeats.php              | PHP        |        213 |          1 |         22 |        236 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\buyTickFlow\selectShowtime.php           | PHP        |         92 |          1 |         23 |        116 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\buyTickFlow\showtimeStyle.css            | CSS        |        103 |          0 |         18 |        121 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\homepage.css                             | CSS        |         77 |          0 |         18 |         95 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\images\B6 Cinema.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\activateUser.php             | PHP        |         40 |          1 |         11 |         52 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\login.css                    | CSS        |        130 |          0 |         23 |        153 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\login.php                    | PHP        |         56 |          0 |          6 |         62 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\loginConfirmation.html       | HTML       |         39 |          1 |          6 |         46 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\logout.php                   | PHP        |         51 |          1 |         10 |         62 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\pwdReset.html                | HTML       |         46 |          1 |          6 |         53 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\register.php                 | PHP        |        131 |          0 |          8 |        139 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\resetEmailSent.html          | HTML       |         28 |          1 |          6 |         35 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\main.css                                 | CSS        |         33 |          0 |          9 |         42 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmOrderPage.css   | CSS        |         61 |          0 |         12 |         73 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmOrderPage.php   | PHP        |        118 |          1 |         15 |        134 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmPayment.css     | CSS        |         34 |          0 |          4 |         38 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmPayment.php     | PHP        |         89 |          1 |         15 |        105 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\orderConfirmation.css  | CSS        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\orderConfirmation.php  | PHP        |         48 |          0 |          6 |         54 |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\profile\editprofile.css                  | CSS        |         80 |          0 |         17 |         97 |
