"filename", "language", "Markdown", "PHP", "JSON", "CSS", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\B6Cinemas\B6Website\view\buyTickFlow\showtimeStyle.css", "CSS", 0, 0, 0, 103, 0, 0, 0, 0, 18, 121
"c:\xampp\htdocs\B6Cinemas\B6Website\view\homepage.css", "CSS", 0, 0, 0, 77, 0, 0, 0, 0, 18, 95
"c:\xampp\htdocs\B6Cinemas\B6Website\view\images\B6 Cinema.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\activateUser.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 1, 11, 52
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\login.css", "CSS", 0, 0, 0, 130, 0, 0, 0, 0, 23, 153
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\login.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\loginConfirmation.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 1, 6, 46
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\logout.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 1, 10, 62
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\pwdReset.html", "HTML", 0, 0, 0, 0, 46, 0, 0, 1, 6, 53
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\register.php", "PHP", 0, 131, 0, 0, 0, 0, 0, 0, 8, 139
"c:\xampp\htdocs\B6Cinemas\B6Website\view\loginAndReg\resetEmailSent.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 1, 6, 35
"c:\xampp\htdocs\B6Cinemas\B6Website\view\main.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 9, 42
"c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmOrderPage.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 0, 12, 73
"c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmOrderPage.php", "PHP", 0, 118, 0, 0, 0, 0, 0, 1, 15, 134
"c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmPayment.css", "CSS", 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\confirmPayment.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 1, 15, 105
"c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\orderConfirmation.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\B6Cinemas\B6Website\view\orderConfirmation\orderConfirmation.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 6, 54
"c:\xampp\htdocs\B6Cinemas\B6Website\view\profile\editprofile.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 0, 17, 97
"c:\xampp\htdocs\B6Cinemas\B6Website\view\profile\editprofile.php", "PHP", 0, 233, 0, 0, 0, 0, 0, 2, 14, 249
"c:\xampp\htdocs\B6Cinemas\Exception.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 28, 4, 41
"c:\xampp\htdocs\B6Cinemas\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\B6Cinemas\autoload.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\B6Cinemas\composer.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\B6Cinemas\composer.lock", "JSON", 0, 0, 97, 0, 0, 0, 0, 0, 1, 98
